x (mm),0 min,15 min,30 min,45 min,60 min,75 min,90 min,105 min
0,0.33,0.32,0.33,0.35,0.39,0.45,0.5,0.53
0.5,0.42,0.46,0.49,0.55,0.66,0.71,0.77,0.8
1,1.99,2.71,1.9,1.63,1.53,1.48,1.46,1.39
1.5,4.92,4.96,4.1,3.51,3.09,2.78,2.54,2.31
2,5.61,5.65,5.09,4.54,4.06,3.69,3.37,3.07
2.5,5.82,5.8,5.54,5.24,4.88,4.48,4.13,3.82
3,5.86,5.86,5.79,5.61,5.37,5.03,4.82,4.53
3.5,5.94,5.89,5.89,5.87,5.73,5.53,5.31,5.09
4,5.84,5.98,5.96,6,5.98,5.86,5.7,5.52
4.5,5.88,6.08,6.04,6.03,6.07,6,5.87,5.72
5,6,6,5.94,5.92,5.97,5.94,5.91,5.83
